t,red-ball position, blue-ball position
0,4,4
0.1,3.975475,3.975475
0.2,3.85285,3.85285
0.3,3.632125,3.632125
0.4,3.3133,3.3133
0.5,2.896375,2.896375
0.6,2.38135,2.38135
0.7,1.7682249999999997,1.7682249999999997
0.8,1.0569999999999997,1.0569999999999997
0.9,0.0023250000000003546,0.25232500000000035
1.0,0.7282650000000005,1.0665550000000006
1.1,1.3561050000000008,1.7826850000000007
1.2,1.8858450000000009,2.400715000000001
1.3,2.317485000000001,2.920645000000001
1.4,2.651025000000001,3.342475000000001
1.5,2.886465000000001,3.6662050000000015
1.6,3.0238050000000016,3.8918350000000017
1.7,3.0630450000000016,4.019365000000001
1.8,3.004185000000002,4.048795000000002
1.9,2.847225000000002,3.980125000000002
2.0,2.5921650000000023,3.813355000000002
2.1,2.2390050000000024,3.548485000000002
2.2,1.7877450000000024,3.1855150000000023
2.3,1.2383850000000025,2.7244450000000024
2.4,0.5909250000000026,2.1652750000000025
2.5,0.3468786249999973,1.5080050000000027
2.6,0.9278758749999972,0.7526350000000028
2.7,1.4107731249999973,0.5788851249999971
2.8,1.7955703749999972,1.339405374999997
2.9,2.082267624999997,2.001825624999997
3.0,2.270864874999997,2.566145874999997
3.1,2.3613621249999968,3.0323661249999967
3.2,2.3537593749999965,3.4004863749999967
3.3,2.2480566249999963,3.6705066249999967
3.4,2.0442538749999963,3.8424268749999966
3.5,1.7423511249999961,3.9162471249999964
3.6,1.342348374999996,3.891967374999996
3.7,0.8442456249999959,3.7695876249999962
3.8,0.001957125000004223,3.5491078749999962
3.9,0.5467432125000042,3.230528124999996
4.0,0.9934293000000043,2.813848374999996
4.1,1.3420153875000043,2.299068624999996
4.2,1.5925014750000044,1.686188874999996
4.3,1.7448875625000044,0.9752091249999959
4.4,1.7991736500000046,0.3338706250000042
4.5,1.7553597375000047,1.1478676375000043
4.6,1.6134458250000048,1.8637646500000047
4.7,1.373431912500005,2.4815616625000048
4.8,1.035318000000005,3.001258675000005
4.9,0.5991040875000052,3.4228556875000056
5.0,0.18520982499999472,3.746352700000006
5.1,0.6773904006249947,3.971749712500006
5.2,1.0714709762499948,4.099046725000006
5.3,1.3674515518749948,4.128243737500006
5.4,1.5653321274999947,4.059340750000007
5.5,1.6651127031249946,3.892337762500007
5.6,1.6667932787499946,3.6272347750000073
5.7,1.5703738543749945,3.2640317875000076
5.8,1.3758544299999946,2.802728800000008
5.9,1.0832350056249946,2.243325812500008
6.0,0.6925155812499946,1.5858228250000084
6.1,0.04630384312500546,0.8302198375000087
6.2,0.49981410384375546,0.5015274503124911
6.3,0.8552243645625055,1.262269038437491
6.4,1.1125346252812556,1.924910626562491
6.5,1.2717448860000056,2.489452214687491
6.6,1.3328551467187557,2.955893802812491
6.7,1.2958654074375058,3.3242353909374907
6.8,1.1607756681562558,3.5944769790624904
6.9,0.9275859288750057,3.76661856718749
7.0,0.5962961895937557,3.84066015531249
7.1,0.08309354968749424,3.81660174343749
7.2,0.48608857807655675,3.69444333156249
7.3,0.7909836064656192,3.47418491968749
7.4,0.9977786348546818,3.1558265078124896
7.5,1.1064736632437442,2.7393680959374898
7.6,1.1170686916328068,2.22480968406249
7.7,1.0295637200218692,1.6121512721874898
7.8,0.8439587484109318,0.9013928603124897
7.9,0.5602537767999942,0.40746555156251046
8.0,0.0715511948109433,1.2212522928437606
